PLANT-ID	FIELD-ID	SCORE_Y1	SCORE_Y2	X-CORD	Y-CORD	Z-CORD	Ploidy	SOIL	HABITAT
0	SO18_H2_6_29	3	4	14	2	1	4x	a	H2
0	SO18_H2_6_29	3	4	14	14	2	4x	b	H2
1	SO18_H2_6_15	2	3	15	1	1	3x	a	H2
1	SO18_H2_6_15	4	4	11	13	2	3x	b	H2
2	SO18_H2_6_36	3	0	16	1	1	3x	a	H2
2	SO18_H2_6_36	2	1	15	15	2	3x	b	H2
3	SO18_H2_6_35	3	0	14	15	2	3x	b	H2
3	SO18_H2_6_35	4	5	12	13	2	3x	a	H2
4	SO18_H2_6_33	2	1	14	11	2	3x	b	H2
4	SO18_H2_6_33	4	5	15	2	1	3x	a	H2
5	SO18_H2_6_7	4	2	14	12	2	4x	b	H2
5	SO18_H2_6_7	4	4	14	1	1	4x	a	H2
6	SO18_H2_6_21	4	0	16	15	2	3x	b	H2
6	SO18_H2_6_21	4	4	14	3	1	3x	a	H2
7	SO18_H2_6_8	4	4	16	14	2	2x	b	H2
7	SO18_H2_6_8	4	5	15	3	1	2x	a	H2
8	SO18_H2_6_25	3	3	16	3	1	3x	a	H2
8	SO18_H2_6_25	4	3	15	14	2	3x	b	H2
9	SO18_H2_6_46	1	0	16	4	1	3x	a	H2
9	SO18_H2_6_46	0	1	16	11	2	3x	b	H2
10	SO18_H2_6_9	2	0	15	4	1	3x	a	H2
10	SO18_H2_6_9	4	4	16	12	2	3x	b	H2
11	SO18_H3_7_48	0	0	14	4	1	2x	a	H3
11	SO18_H3_7_48	2	0	16	13	2	2x	b	H3
12	SO18_H3_7_42	1	0	14	5	1	2x	a	H3
12	SO18_H3_7_42	3	4	15	11	2	2x	b	H3
13	SO18_H3_7_40	1	0	15	5	1	2x	a	H3
13	SO18_H3_7_40	1	0	15	12	2	2x	b	H3
14	SO18_H3_7_45	1	0	5	13	1	2x	b	H3
14	SO18_H3_7_45	1	0	5	14	1	2x	a	H3
16	SO18_H3_7_38	3	4	16	5	1	2x	a	H3
16	SO18_H3_7_38	4	5	15	13	2	2x	b	H3
17	SO18_H3_7_44	1	0	16	11	1	2x	b	H3
17	SO18_H3_7_44	5	5	14	6	1	2x	a	H3
18	SO18_H3_7_34	1	0	15	6	1	2x	a	H3
