ingrid_id	ploidy	2:PAR	2:F	2:Fm'	2:ETR	2:NPQ	2:Y (II)	2:Y (NO)	2:Y (NPQ)	2:Fv/Fm
111A	4x	0	270	905	0	-	0.702	-	-	0.702
111A	4x	66	456	589	6.3	0.537	0.226	0.504	0.27	0.702
111A	4x	91	377	477	8	0.897	0.21	0.417	0.373	0.702
111A	4x	127	370	467	11.1	0.938	0.208	0.409	0.383	0.702
111A	4x	193	374	455	14.4	0.989	0.178	0.413	0.409	0.702
111A	4x	290	362	425	18	1.129	0.148	0.4	0.452	0.702
111A	4x	428	350	393	19.6	1.303	0.109	0.387	0.504	0.702
111A	4x	642	336	364	20.8	1.486	0.077	0.371	0.552	0.702
111A	4x	839	321	339	18.7	1.67	0.053	0.355	0.592	0.702
111A	4x	1173	305	318	20.2	1.846	0.041	0.337	0.622	0.702
111A	4x	1532	290	300	21.2	2.017	0.033	0.32	0.647	0.702
161A	2x	0	210	737	0	-	0.715	-	-	0.715
161A	2x	66	388	483	5.5	0.526	0.197	0.526	0.277	0.715
161A	2x	91	309	373	6.6	0.976	0.172	0.419	0.409	0.715
161A	2x	127	284	343	9.2	1.149	0.172	0.385	0.443	0.715
161A	2x	194	278	325	11.8	1.268	0.145	0.377	0.478	0.715
161A	2x	291	279	317	14.7	1.325	0.12	0.379	0.501	0.715
161A	2x	429	271	296	15.1	1.49	0.084	0.368	0.548	0.715
161A	2x	642	261	278	16.4	1.651	0.061	0.354	0.585	0.715
161A	2x	839	253	266	17.3	1.771	0.049	0.343	0.608	0.715
161A	2x	1174	248	257	17.3	1.868	0.035	0.336	0.629	0.715
161A	2x	1533	243	251	20.6	1.936	0.032	0.33	0.638	0.715
16A	2x	0	277	1065	0	-	0.74	-	-	0.74
16A	2x	65	477	592	5.3	0.799	0.194	0.448	0.358	0.74
16A	2x	91	435	523	6.4	1.036	0.168	0.408	0.424	0.74
16A	2x	127	424	499	8	1.134	0.15	0.398	0.452	0.74
16A	2x	193	415	477	10.5	1.233	0.13	0.39	0.48	0.74
16A	2x	290	406	452	12.4	1.356	0.102	0.381	0.517	0.74
16A	2x	428	398	428	12.6	1.488	0.07	0.374	0.556	0.74
16A	2x	641	390	408	11.8	1.61	0.044	0.366	0.59	0.74
16A	2x	838	374	389	13.7	1.738	0.039	0.351	0.61	0.74
16A	2x	1173	359	371	15.8	1.871	0.032	0.337	0.631	0.74
16A	2x	1531	346	355	16.1	2	0.025	0.325	0.65	0.74
173A	3x	0	220	822	0	-	0.732	-	-	0.732
173A	3x	66	371	456	5.2	0.803	0.186	0.451	0.363	0.732
173A	3x	91	332	411	7.3	1	0.192	0.404	0.404	0.732
173A	3x	127	331	405	9.8	1.03	0.183	0.403	0.414	0.732
173A	3x	194	324	379	11.8	1.169	0.145	0.394	0.461	0.732
173A	3x	291	310	347	13.1	1.369	0.107	0.377	0.516	0.732
173A	3x	430	295	320	14.1	1.569	0.078	0.359	0.563	0.732
173A	3x	644	281	297	14.6	1.768	0.054	0.342	0.604	0.732
173A	3x	842	266	278	15.2	1.957	0.043	0.324	0.633	0.732
173A	3x	1178	253	260	13.4	2.162	0.027	0.308	0.665	0.732
173A	3x	1539	240	248	20.7	2.315	0.032	0.292	0.676	0.732
17A	2x	0	253	906	0	-	0.721	-	-	0.721
17A	2x	66	505	622	5.2	0.457	0.188	0.557	0.255	0.721
17A	2x	91	438	541	7.3	0.675	0.19	0.483	0.327	0.721
17A	2x	127	432	532	10	0.703	0.188	0.477	0.335	0.721
17A	2x	194	440	529	13.7	0.713	0.168	0.486	0.346	0.721
17A	2x	291	439	499	14.7	0.816	0.12	0.485	0.395	0.721
17A	2x	429	404	443	15.9	1.045	0.088	0.446	0.466	0.721
17A	2x	643	386	414	18.4	1.188	0.068	0.426	0.506	0.721
17A	2x	841	369	387	16.6	1.341	0.047	0.407	0.546	0.721
17A	2x	1176	355	369	18.8	1.455	0.038	0.392	0.57	0.721
17A	2x	1535	341	353	21.9	1.567	0.034	0.376	0.59	0.721
18B	2x	0	358	1423	0	-	0.748	-	-	0.748
18B	2x	65	610	723	4.3	0.968	0.156	0.429	0.415	0.748
18B	2x	91	474	548	5.2	1.597	0.135	0.333	0.532	0.748
18B	2x	127	436	495	6.3	1.875	0.119	0.306	0.575	0.748
18B	2x	194	426	477	8.7	1.983	0.107	0.299	0.594	0.748
18B	2x	291	424	464	10.5	2.067	0.086	0.298	0.616	0.748
18B	2x	429	430	460	11.7	2.093	0.065	0.302	0.633	0.748
18B	2x	643	422	444	13.5	2.205	0.05	0.297	0.653	0.748
18B	2x	842	408	425	14.1	2.348	0.04	0.287	0.673	0.748
18B	2x	1177	395	408	15.8	2.488	0.032	0.278	0.69	0.748
18B	2x	1536	382	389	11.6	2.658	0.018	0.268	0.714	0.748
19B	2x	0	376	1682	0	-	0.776	-	-	0.776
19B	2x	66	819	989	4.8	0.701	0.172	0.487	0.341	0.776
19B	2x	91	683	820	6.4	1.051	0.167	0.406	0.427	0.776
19B	2x	127	651	778	8.7	1.162	0.163	0.387	0.45	0.776
19B	2x	194	663	765	10.8	1.199	0.133	0.394	0.473	0.776
19B	2x	291	673	756	13.4	1.225	0.11	0.4	0.49	0.776
19B	2x	430	676	738	15.2	1.279	0.084	0.402	0.514	0.776
19B	2x	644	667	706	14.9	1.382	0.055	0.397	0.548	0.776
19B	2x	842	645	677	16.6	1.484	0.047	0.383	0.57	0.776
19B	2x	1178	615	636	16.3	1.645	0.033	0.366	0.601	0.776
19B	2x	1537	587	604	18.1	1.785	0.028	0.349	0.623	0.776
24B	2x	0	389	1622	0	-	0.76	-	-	0.76
24B	2x	66	700	926	6.8	0.752	0.244	0.432	0.324	0.76
24B	2x	91	645	896	10.7	0.81	0.28	0.398	0.322	0.76
24B	2x	127	691	939	14.1	0.727	0.264	0.426	0.31	0.76
24B	2x	194	664	811	14.7	1	0.181	0.409	0.41	0.76
24B	2x	291	610	699	15.5	1.32	0.127	0.376	0.497	0.76
24B	2x	429	581	641	16.9	1.53	0.094	0.358	0.548	0.76
24B	2x	642	568	606	17	1.677	0.063	0.35	0.587	0.76
24B	2x	840	552	579	16.6	1.801	0.047	0.34	0.613	0.76
24B	2x	1176	536	555	16.8	1.923	0.034	0.33	0.636	0.76
24B	2x	1535	518	533	18.1	2.043	0.028	0.319	0.653	0.76
27B	4x	0	225	937	0	-	0.76	-	-	0.76
27B	4x	65	411	528	6.1	0.775	0.222	0.439	0.339	0.76
27B	4x	91	336	431	8.4	1.174	0.22	0.359	0.421	0.76
27B	4x	127	317	398	10.9	1.354	0.204	0.338	0.458	0.76
27B	4x	194	314	373	12.9	1.512	0.158	0.335	0.507	0.76
27B	4x	292	314	359	15.3	1.61	0.125	0.335	0.54	0.76
27B	4x	430	316	348	16.6	1.693	0.092	0.337	0.571	0.76
27B	4x	644	315	335	16.2	1.797	0.06	0.336	0.604	0.76
27B	4x	843	309	325	17.3	1.883	0.049	0.33	0.621	0.76
27B	4x	1179	304	317	20.3	1.956	0.041	0.324	0.635	0.76
27B	4x	1539	295	304	19.4	2.082	0.03	0.315	0.655	0.76
28B	2x	0	276	1105	0	-	0.75	-	-	0.75
28B	2x	66	444	551	5.4	1.005	0.194	0.402	0.404	0.75
28B	2x	91	402	500	7.5	1.21	0.196	0.364	0.44	0.75
28B	2x	127	397	482	9.4	1.293	0.176	0.359	0.465	0.75
28B	2x	194	381	442	11.2	1.5	0.138	0.345	0.517	0.75
28B	2x	291	359	401	12.8	1.756	0.105	0.325	0.57	0.75
28B	2x	430	344	371	13.2	1.978	0.073	0.311	0.616	0.75
28B	2x	644	327	349	17	2.166	0.063	0.296	0.641	0.75
28B	2x	844	316	331	16	2.338	0.045	0.286	0.669	0.75
28B	2x	1179	307	319	18.8	2.464	0.038	0.278	0.684	0.75
28B	2x	1538	298	307	18.7	2.599	0.029	0.27	0.701	0.75
29B	2x	0	219	777	0	-	0.718	-	-	0.718
29B	2x	66	524	631	4.7	0.231	0.17	0.674	0.156	0.718
29B	2x	91	389	451	5.2	0.723	0.137	0.501	0.362	0.718
29B	2x	127	343	394	6.9	0.972	0.129	0.441	0.43	0.718
29B	2x	194	328	371	9.5	1.094	0.116	0.422	0.462	0.718
29B	2x	291	326	360	11.5	1.158	0.094	0.42	0.486	0.718
29B	2x	430	326	355	14.8	1.189	0.082	0.42	0.498	0.718
29B	2x	644	327	347	15.7	1.239	0.058	0.421	0.521	0.718
29B	2x	843	322	337	15.9	1.306	0.045	0.414	0.541	0.718
29B	2x	1179	314	326	18.3	1.383	0.037	0.404	0.559	0.718
29B	2x	1540	301	310	18.8	1.506	0.029	0.387	0.584	0.718
30A	2x	0	463	1969	0	-	0.765	-	-	0.765
30A	2x	65	809	971	4.6	1.028	0.167	0.411	0.422	0.765
30A	2x	91	726	884	6.8	1.227	0.179	0.369	0.452	0.765
30A	2x	127	735	885	9	1.225	0.169	0.373	0.458	0.765
30A	2x	194	752	864	10.6	1.279	0.13	0.382	0.488	0.765
30A	2x	291	747	829	12.1	1.375	0.099	0.379	0.522	0.765
30A	2x	429	733	788	12.6	1.499	0.07	0.372	0.558	0.765
30A	2x	643	714	749	12.7	1.629	0.047	0.363	0.59	0.765
30A	2x	841	680	708	14.1	1.781	0.04	0.345	0.615	0.765
30A	2x	1176	644	663	14.3	1.97	0.029	0.327	0.644	0.765
30A	2x	1534	603	617	14.8	2.191	0.023	0.306	0.671	0.765
34A	4x	0	361	1130	0	-	0.681	-	-	0.681
34A	4x	66	573	717	5.6	0.576	0.201	0.507	0.292	0.681
34A	4x	91	452	552	6.9	1.047	0.181	0.4	0.419	0.681
34A	4x	127	437	547	10.7	1.066	0.201	0.387	0.412	0.681
34A	4x	194	439	540	15.2	1.093	0.187	0.388	0.425	0.681
34A	4x	291	423	499	18.6	1.265	0.152	0.374	0.474	0.681
34A	4x	429	391	443	21.1	1.551	0.117	0.346	0.537	0.681
34A	4x	643	356	387	21.6	1.92	0.08	0.315	0.605	0.681
34A	4x	841	324	348	24.4	2.247	0.069	0.287	0.644	0.681
34A	4x	1176	302	317	23.2	2.565	0.047	0.267	0.686	0.681
34A	4x	1534	282	294	26.4	2.844	0.041	0.25	0.709	0.681
33A	4x	0	248	817	0	-	0.696	-	-	0.696
33A	4x	66	410	521	5.9	0.568	0.213	0.502	0.285	0.696
33A	4x	91	363	454	7.6	0.8	0.2	0.444	0.356	0.696
33A	4x	127	382	482	11	0.695	0.207	0.468	0.325	0.696
