ingrid_id	ploidy	Time (rel/ms)	Date	Time	Type	No.	Mark	F	Fm'	PAR	Y (II)	ETR	Fo'	ETR-F.	qP	qN	qL	NPQ	Y (NO)	Y (NPQ)	Fo	Fm	Fv/Fm
7A	2x	642	2021-06-22	16:39:03	FO	149	B	287	1280	0	0.776	0	-	0.84	-	-	-	-	-	-	287	1280	0.776
7A	2x	70628	2021-06-22	16:40:13	F	150	B	377	526	65	0.283	7.7	217	0.84	0.482	0.689	0.277	1.433	0.295	0.422	287	1280	0.776
7A	2x	140639	2021-06-22	16:41:23	F	151	B	342	465	90	0.265	10	206	0.84	0.475	0.739	0.286	1.753	0.267	0.468	287	1280	0.776
7A	2x	210621	2021-06-22	16:42:33	F	152	B	319	410	126	0.222	11.7	194	0.84	0.421	0.782	0.256	2.122	0.249	0.529	287	1280	0.776
7A	2x	280610	2021-06-22	16:43:43	F	153	B	314	374	191	0.16	12.8	186	0.84	0.319	0.811	0.189	2.422	0.245	0.595	287	1280	0.776
7A	2x	350589	2021-06-22	16:44:53	F	154	B	314	356	286	0.118	14.2	181	0.84	0.24	0.824	0.138	2.596	0.245	0.637	287	1280	0.776
7A	2x	420578	2021-06-22	16:46:03	F	155	B	317	344	421	0.078	13.8	178	0.84	0.163	0.833	0.092	2.721	0.248	0.674	287	1280	0.776
7A	2x	490543	2021-06-22	16:47:13	F	156	B	315	330	631	0.045	11.9	174	0.84	0.096	0.843	0.053	2.879	0.246	0.709	287	1280	0.776
7A	2x	560523	2021-06-22	16:48:23	F	157	B	313	326	825	0.04	13.9	173	0.84	0.085	0.846	0.047	2.926	0.245	0.715	287	1280	0.776
7A	2x	630542	2021-06-22	16:49:33	F	158	B	310	322	1154	0.037	17.9	172	0.84	0.08	0.849	0.044	2.975	0.242	0.721	287	1280	0.776
7A	2x	700529	2021-06-22	16:50:43	F	159	B	308	320	1506	0.038	24	172	0.84	0.081	0.851	0.045	3	0.241	0.721	287	1280	0.776
16A	2x	554	2021-06-22	15:56:11	FO	116	B	239	953	0	0.749	0	-	0.84	-	-	-	-	-	-	239	953	0.749
