n	plant_id	ploidy	habitat	W_g	TW_g	DW_g	area_cm2	RWC	LMA_gm2	pixels	p_cm2	cup_mg	ws_mg	s_mg	tray_id	fvfm_avg	SLA	whc_p	CN_ratio	Np
1	SO18-H2-09-12	4x	slope	0.0172	0.0256	0.006	0.533366288	57.1429	112.4930	7553	14161	27.15	32.85	5.7	E8	NA	88.89438128	69.3877551	39.9652	1.13
2	SO18-H2-09-32	4x	slope	0.0136	0.0182	0.0043	0.410140527	66.9065	104.8421	5808	14161	NA	NA	NA	NA	NA	95.38151786	69.0647482	NA	NA
3	SO18-H2-09-06	4x	slope	0.0138	0.0215	0.0035	0.440858696	57.2222	79.3905	6243	14161	NA	NA	NA	NA	NA	125.9596275	80.55555556	NA	NA
4	SO18-H2-09-33	4x	slope	0.0076	0.013	0.0018	0.297648471	51.7857	60.4740	4215	14161	NA	NA	NA	NA	NA	165.3602618	83.92857143	NA	NA
5	SO18-H2-09-43	4x	slope	0.0177	0.0234	0.0047	0.484640915	69.5187	96.9790	6863	14161	27.55	32.3	4.75	E9	NA	103.1150883	74.86631016	33.1548	1.36
6	SO18-H2-09-36	4x	slope	0.0186	0.0264	0.0055	0.5985453	62.6794	91.8895	8476	14161	26.98	32.31	5.33	E5	NA	108.8264183	73.68421053	39.0442	1.15
7	SO18-H2-09-30	4x	slope	0.013	0.0178	0.0038	0.403149495	65.7143	94.2578	5709	14161	NA	NA	NA	NA	NA	106.0919724	72.85714286	NA	NA
8	SO18-H2-09-19	4x	slope	0.0189	0.025	0.0045	0.592754749	70.2439	75.9167	8394	14161	27.13	32.31	5.18	E3	NA	131.7232775	78.04878049	25.2922	1.72
9	SO18-H1-08-06	2x	riverbed	0.0739	0.094	0.0174	1.783489867	73.7598	97.5615	25256	14161	26.92	34.19	7.27	E7	NA	102.4994176	77.2845953	29.2392	1.49
10	SO18-H1-08-43	2x	riverbed	0.0337	0.046	0.0068	1.036296872	68.6224	65.6183	14675	14161	26.95	32.92	5.97	E1	NA	152.3965988	82.65306122	26.5561	1.66
11	SO18-H1-08-48	2x	riverbed	0.0443	0.0561	0.0092	1.188192924	74.8401	77.4285	16826	14161	26.97	31.92	4.95	C5	NA	129.1514048	80.38379531	24.3347	1.84
12	SO18-H1-08-18	2x	riverbed	0.0555	0.0709	0.0161	1.492055646	71.8978	107.9048	21129	14161	27.15	34.56	7.41	E2	NA	92.67426371	70.62043796	49.0661	0.92
13	SO18-H1-08-38	2x	riverbed	0.0729	0.0984	0.0161	2.075983335	69.0158	77.5536	29398	14161	26.48	32.24	5.76	B12	NA	128.9430643	80.43742406	34.0089	1.26
